sentiment,text
1.0000,good hardedge stuff violent bit exploitative nicely morally alert streetsmart
0.0000,sayle strand superb performer old story
0.0000,high crime carry organic intrigue government marinelegal mystery movie serve stuff nearly subliminally oldhat province male intrigue
1.0000,nicole kidman make party worth attend
1.0000,bogdanovich put history perspective kirsten dunst remarkable performance showcase davy young woman great charm generosity diplomacy
1.0000,gentle comic treatment adolescent sturm und drang fan chris fuhrman posthumously publish cult novel
0.0000,shatner probably funniest person film give idea bad
0.0000,fragment film good idea follow bad idea turn movie
0.0000,outrageously creative action transporter lrb b rrb ut time frank parachute move truck cartoon unstoppable superman
1.0000,indulgent slightly sunbake summery mind sex lucia prove divert
1.0000,easy watch video home not stop diehard french film connoisseur go enjoy bigscreen experience
1.0000,lrb reno rrb deliver monologue manage incorporate horror absurdity situation wellbalance fashion
1.0000,rich atmosphere postwar art world manage instruct reek research library dust
1.0000,good great freeman judd work
1.0000,nice piscopo year chaykin headly priceless
1.0000,special pleasant divert modest definitely step right direction
0.0000,man movie leave earth tossup preside end cinema know night delightful hand shadow
1.0000,lioness protect cub reluctant villain incapable control crew
1.0000,interesting movie
0.0000,simply stupid irrelevant deeply truly bottomlessly cynical
0.0000,movie completely lack suspense surprise consistent emotional conviction
0.0000,character generic plot bland rogue cia assassin work chris cooper agency boss close resourceful amnesiac not feel damonbourne predicament
0.0000,like old coke
1.0000,masterfully calibrate psychological thriller thrive taut performance creepy atmosphere screenplay fall somewhat short
0.0000,yes suppose lovely cal work issue dad come term pictureperfect life world traveler give reason care not
0.0000,film open maggot crawl dead dog place metaphor
1.0000,plot bit skinny panic room interested suck make sweat
1.0000,drumline ably capture complicate relationship march band
1.0000,entire cast firstrate especially sorvino
0.0000,drag nettelbeck see work woman work woman show little understand
0.0000,movie work
1.0000,solidly entertain little film
1.0000,lrb safe conduct rrb long movie minute fill time drama romance tragedy bravery political intrigue partisan sabotage
1.0000,mainstream american movie tend exploit familiar film arrive margin give viewer chance learn grow travel
0.0000,hit andmiss affair consistently amusing outrageous funny cho intend imaginative hope
1.0000,exercise chill style twohy film sub inside eye preserve sense mystery
0.0000,hey everybody want watch movie guy dress child party clown get violently gangrape
1.0000,make compelling provocative prescient view
1.0000,flaw engross thriller
0.0000,come coherent
0.0000,decide lack spontaneity execution dearth real poignancy epiphany
1.0000,set ms birot film apart genre great attention parent particularly fateful father emotional evolution bewitch adolescent
0.0000,like jaglom film honestly affect contrive secondhand
1.0000,wise powerful tale race culture forcefully tell superb performance
1.0000,terrific documentary collect bunch people enthusiastic figure share enthusiasm
0.0000,film soprano gag incredibly date unfunny demonstrate desperate maker doingitfor thecash sequel
0.0000,admit baffle jason x
1.0000,film get close chimp way goodall mind patience respect affection
0.0000,ripoff twice remove model lrb seagal rrb early copycat siege refer die hard boat
1.0000,ms seigner mr serrault bring fresh unforce naturalism character
0.0000,muy loco ridiculous rest dragonfly
0.0000,movie not deliver country music fan family audience
1.0000,answer yes mean enjoy new guy
1.0000,generate enormous feel empathy character
1.0000,lowkey direction pleasingly emphatic properly intense claustrophobic tale obsessive love
1.0000,prone indignation need apply susceptible blue hilarity step right
1.0000,intriguing look french film industry german occupation delightful moment come character express quirky inner self
1.0000,excellent companion piece similarly theme french lieutenant woman
1.0000,like quirky odd movie andor ironic fun
0.0000,french people harm make movie insult audience torture hour half
1.0000,woody allen write deliver liner anybody
1.0000,consistently funny austin power film
1.0000,degrade strangely liberate people work hard lead live sexy intrigue reveal dispassionate gantz brother ordinary pasty lumpen
1.0000,pay remarkably engage despite noticeably derivative goodfellas half dozen troubleintheghetto flick
0.0000,plot number hole time simply baffle
0.0000,redeem feature chan film action stunt tuxedo tired worse routine
0.0000,amazingly lame
0.0000,felinni know italian freakshow
1.0000,bernal immensely appeal couple story predictable want thing work
1.0000,certainly hard hate
1.0000,finely craft finely write exquisitely perform
0.0000,parker sustain buoyant energy level film city beginning country conclusion
1.0000,story simplistic grief drive love drive second chance find love unlikely place strike chord
0.0000,cockeye shot way
0.0000,clare peploe airless movie adaptation use little american pielike irreverence
0.0000,woefully dull redundant concept bear whiff exploitation despite iwai vaunted empathy
1.0000,cutesy romantic tale twist
0.0000,gag white intermittently wise script hit mark rest pad unashamedly appropriate teenexploitation playbook
0.0000,plod methodically assumption dead wife communicate grave framework remotely new interesting
1.0000,credit robinson key grip bold work
0.0000,say film overboard
1.0000,suffocate rapepayback horror hinge subgenre enable victim ebullient affection industrialmodel meat freezer
1.0000,long possess lackofattention span seventeen trouble sit blade ii
0.0000,collage dim echo allusion film
1.0000,combine paranoid claustrophobia submarine movie unsettle spookiness supernatural not hollywood think soon
0.0000,damon affleck attempt project greenlight time try pay attention miniserie attention film
0.0000,screenplay james eric james horton director peter ofallon pat make tooth hurt
0.0000,give thumb endlessly repetitive scene embarrassment
0.0000,leblanc spectacularly uglylooke broad appear miserable swagger scene
1.0000,elegant work food love consistently engage reveal
1.0000,pain loneliness insecurity screenwrite process vividly painfully bring slovenly life selfdeprecate bite witty feature write charlie kaufman twin brother donald direct spike jonze
0.0000,weak ineffective ghost story conclusion pay
1.0000,fan series love probably want twice
0.0000,film find tone scene run long
0.0000,suffer lack clarity audacity subject monstrous pathetic dahmer demand
0.0000,motion picture utterly static picture
0.0000,probably easy worthless film
1.0000,film bright flashy right way
1.0000,brisk reverent subtly different sequel
1.0000,macabre stylize swedish fillm modern city religious civic virtue hold society place tatter
1.0000,impressive job relate complicate history war fill background
1.0000,fascinating documentary provide round reveal overview ancient holistic heal system
0.0000,cautionary tale folly superficiality endlessly superficial
0.0000,quit manage depress lead actor phone autobiographical performance
0.0000,check minute repulsive minute
0.0000,end movie bog insignificance say kennedy assassination reveal pathology pretend investigate
1.0000,refresh movie embrace oldfashione theme process come look like wholly original
1.0000,end world good film far year franchise sequel star wesley snipe
1.0000,boomer kid barrie good time
1.0000,wow
0.0000,disney cinderella prove dream wish heart make cinderella ii prove nightmare wish studio wallet make
0.0000,thousand time well
0.0000,infuriate film
1.0000,film great premise great premise
0.0000,seagal run movie year ago proof
0.0000,backhand ode female camaraderie pen man little clue nature woman friendship
0.0000,fetid underbelly fame look ugly
1.0000,halfway picture begin hate course feel guilty miracle miracle movie flipflop
0.0000,soulless damn virtually joyless xx achieve near virtuosity crapulence
1.0000,movie lack action make drama suspense revenge romance
1.0000,sweet home alabama not go win academy award datenight diversion definitely win heart
1.0000,satisfy summer blockbuster worth look
0.0000,partyhearty teen flick scald like acid
1.0000,movie funny peek finger eye
0.0000,story betterfocuse incomprehensible anne rice novel base queen damn pointless meander celebration gothvampire torture woeisme lifestyle
1.0000,originality ai not menu dull moment giant spider invasion comic chiller
0.0000,like mike slight uninventive movie like exalt michael jordan refer title aspire equal
1.0000,cast collectively successful example lovableloser protagonist show deft comic time
1.0000,grittily beautiful film look sound feel like extend openende poem traditionally structure story
1.0000,strangely come kingdom mild wild
0.0000,hour see forget movie
0.0000,genrebuste film hype play safe
0.0000,big problem roger avary uproar mpaa director cut glory film barely shocking barely interesting barely
1.0000,peralta capture luminous interview amazingly evocative film decade ago essence dogtown experience
1.0000,manage accomplish sequel equal original way better
0.0000,end result like cold porridge odd enjoyably chewy lump
0.0000,show studio firmly believe people lose ability think forgive shoddy product long little girlongirl action
1.0000,despite quieter middle section involve aragorn dream arwen well fellowship
0.0000,horrible movie spring great year bad cinematic tragedy
1.0000,fleetfoote pleasingly upbeat family diversion
1.0000,australian filmmaker david flatman use hugescreen format oldfashione nature film educate viewer word picture entertain
1.0000,mr deed suitable summer entertainment offer escapism require great deal think
0.0000,lame sweet home leave southern stereotype unturned
0.0000,rice pedestrian filmmaker bring edge personality rise place set apart deep south story
0.0000,disappointing documentary fail live offer new insight choose topic
0.0000,iteration movie creepiest convention developmentally disabled portray supernatural power humble teach ultimately redeem mentally superior friend family
0.0000,gall waste nearly hour precious life silly little puddle movie
1.0000,mr scorsese bravery integrity advance vision hardly underestimate
0.0000,intellectually scary dramatically involve
0.0000,movie like year late tap reality tv obsession tardier exploit novelty webcast
1.0000,fun nimble
0.0000,cast movie go read seek act ambition sense pride shame
0.0000,movie desperate miscalculation
0.0000,matter plumb arrangement mind game erotic sensuous charge
0.0000,play like glossy melodrama occasionally verge camp
0.0000,ultimately make windtalker disappointment superficial way deal story
1.0000,polanski find perfect material address world war ii experience signature style
0.0000,main story compelling difficult shrug annoyance chatty fish
1.0000,film boast good idea feature decent performance result disappointing
1.0000,surprise director washington demand receive excellent performance newcomer derek luke
1.0000,martha unsurprise sweet delectable diversion
1.0000,topnotch action power romantic drama
1.0000,roman polanski autobiographical gesture redemption well shindler list merely holocaust movie
0.0000,admit egomaniac evans hollywood villain grate showcase make wish go way simpson
1.0000,confession straightforward bio offer way barris motivation film oddly fascinating depiction architect pop culture
0.0000,inherent limitation video game source material movie clear schlocky horroraction hybrid
1.0000,take simple premise carry unexpected height
0.0000,moore like progressive bull china shop provocateur crash idea specialinter group slap brand liberalism
1.0000,film remind vastly improve germanic version big fat greek wedding well character genuine quirkiness measure style
0.0000,star help spark chase amy change lane fall flat think man cia agent jack ryan summer new action film sum fear
1.0000,good film solid pedigree specifically camera
1.0000,marvelous performance allison lohman identityseeke foster child
0.0000,slowmove policeprocedural thriller take title literally
0.0000,dahmer resort standard slasher flick thrill mind killer miss major opportunity truly revelatory psyche
1.0000,leigh not break new ground know daily grind kill love
0.0000,master disguise represent adam sandler late attempt dumb universe
0.0000,not movie adult male dress pink jammie
0.0000,lrb rrb boldly stroke luridly coloured unidimensional nonsense machine stroke eyeball evaporate like crypt mist brain
0.0000,experience mr haneke sadistic tendency audience leave sour taste mouth little
1.0000,bad romance kind movie deserve chance shine
1.0000,schmidt undoubtedly fine film year
1.0000,not reach effort gratefully receive
1.0000,want little alien friend
1.0000,work filmmaker secret bury heart story know time reveal
0.0000,sort thing work need agile performer proficient dull sorvino light touch rodan league
1.0000,juliette binoche sand vivacious hard sense powerhouse prose childlike smile
0.0000,storyline feel like time filler surf shot
1.0000,powerful performance mel gibson brutal battle sequence issue dogtag m16
1.0000,woody allen find groove day
0.0000,screenwriter dig deeply time toss logic science essentially dungeon dragon fantasy modern military weaponry
1.0000,delirious fun
0.0000,acceptable print page ile book translate screen
0.0000,ice cube not ripe screwball idea friday spread pretty thin
0.0000,director david fincher writer david koepp not sustain
0.0000,mckay show crushingly little curiosity illequippe examine interior live character film incorporate narrative
1.0000,lift film high runofthefilth gangster flick refusal recognise signpost discover way bitter end map
0.0000,get detail time frame right completely miss emotion
1.0000,entirely appropriately tale unfold like lazy summer afternoon conclude crisp clarity fall dawn
0.0000,character face possibility life meaningless vapid devoid substance movie definitely meaningless vapid devoid substance
1.0000,cast alist brit actor worth search
1.0000,refresh understand need bad boy diesel brawny frame cool compose delivery fit bill perfectly
0.0000,insight dream world teen life electronic expression cyber culture film give quarter seek pull cohesive story hour run time
0.0000,flashbulb edit cover absence narrative continuity undispute nearly incoherent excuse close bout time impossible care win
1.0000,clooney direct film keep balance fantastic believable
1.0000,happy time maintain appeal veneer cute
0.0000,tv skitcom material fervently deposit big screen
1.0000,compelling film
1.0000,film unhurried pace actually strength
1.0000,certainly will not win award plot department set pretension deliver big time
1.0000,thing original man black pleasure
0.0000,cold sterile lack color warmth
0.0000,girl go wild video boho arthouse crowd burn sensation not definitive countercultural document maker not remove inquisitive
0.0000,movie feel stitch stock situation character movie
1.0000,obvious rapport actor strike style camera angel definitely director watch
1.0000,deft delightful mix sulky teen drama overcomingobstacle sportsmovie triumph
0.0000,man black ii achieve ultimate insignificance scifi comedy spectacle whiffleball epic
0.0000,gain watch
0.0000,debut effort project greenlight winner sappy amateurish
1.0000,out show lot stamina vitality madonna cameo not suck
0.0000,absurdist spider web
1.0000,journey difficult audience protagonist potentially reward
0.0000,sum underventilate confrontation
1.0000,entertain documentary freshly consider argument bard immortal play write somebody
0.0000,stay away
0.0000,contrast original ringu current americanize adaptation akin compare evil dead evil dead ii
0.0000,skip dreck rent animal house source
1.0000,beautifully film act admittedly problematic narrative specific
1.0000,burn wonderful life marathon bore christmas carol movie look
1.0000,film highlight definitely screenplay rhapsodic dialogue jump page memorable character creation
0.0000,movie like bartleby stiff extradry office comedy twice long minute
1.0000,sort century morality play latino hip hop beat
0.0000,not allow use word new title original character siuation joke entire movie
0.0000,decent dull
0.0000,pooperscooper
0.0000,humor spy anemic
1.0000,fairly impressive debut director charle stone ii
1.0000,try resist get place heart smokey robinson movie worm way
1.0000,film problem shortness disappoint want story
0.0000,fresh idea core tale
1.0000,film different apple strike encourage samira makhmalbaf distinctive sensibility work develop film language conspicuous success
0.0000,movie notable observation long sit
0.0000,technically artistically inept
0.0000,overly melodramatic
0.0000,trouble day success sense hard like film cold dead
0.0000,stumble cheap trick book try outrage come easy
0.0000,annal movie film odd inexplicable unpleasant
1.0000,allen funniest likeable movie year
0.0000,highly uneven inconsistent margarita happy hour kind resemble el cheapo margarita serve
0.0000,effort sincere result honest film bleak hardly watchable
0.0000,scriptwriter menace society film character
1.0000,bigbudgetallstar movie unblinkingly pure hour distinct rarity event
1.0000,enormously entertain movie like see completely familiar
0.0000,hero story rediscover passion life mood remain oddly detach
1.0000,deepa mehta provide accessible introduction intelligent observation success bollywood western world
0.0000,cheap scam cynical creep revolution studio imagine entertainment sucker surrender minute unrecoverable life
0.0000,come close exciting
0.0000,hellish numb experience watch not offer insight not thoroughly debate medium dahmer heyday mid
0.0000,film hamper predictable plot paperthin support character
1.0000,standard gun versus martial art cliche little new add
0.0000,noble failure
1.0000,horrible undeniably exceedingly clever
0.0000,comedic moment romantic comedy
0.0000,rock pile set
1.0000,hook drama drama unsolve murder unresolve moral conflict jockey spotlight
1.0000,muddle splash bloody beauty vivid scorsese give
0.0000,marinate mawkish dialogue
0.0000,movie certain scene particular bring uncomfortably close lose lunch
1.0000,addition glue edge seat change lane film freshness imagination insight
0.0000,end film feel homogenize bit contrive look tattere ugly past rosetinte glass
1.0000,frequent allusion guru doshas strike westerner verge mumbojumbo broad streak common sense emerge unimpeachable clarity
1.0000,movie hardly masterpiece mark ms bullock good work time
0.0000,come film skateboard arm go feel like not invite party
1.0000,energetic engage film pretend not
1.0000,compelling story musical passion governmental odd
0.0000,rumor angel not slip avalanche force fuzziness
1.0000,mindless impressively lean spinoff summer bloated effect f mummy return
0.0000,need badly virtually absent save dark humor feel poetic tragedy
0.0000,stone knack wrap theater cold blanket urban desperation
1.0000,alice adventure look glass zombieland fill strange wonderful creature
1.0000,late marriage inyourface family drama black comedy fill raw emotion convey despair love
1.0000,remember
1.0000,thoroughly enjoyable
1.0000,begin like docudrama build multicharacter story flourish
1.0000,good comedy concert movie see cho previous concert comedy film want
1.0000,end move
1.0000,find actual vietnam war combat movie actually produce north south vietnamese get pretty damn close
0.0000,tasteful look attention process tend little flee
1.0000,visual spectacle stunning image effect
1.0000,fascinating watch marker essayist work
1.0000,film despite gratuitous cinematic distraction impressed good fun
1.0000,character act horribly sympathetic
0.0000,narc menace atmosphere
0.0000,simply interest onscreen sustain seventyminute run time
0.0000,lrb steven rrb stoke important film human infidelity happenstance toss kitchen sink story overladen plot conceit
0.0000,kury intimidate subject matter period trapping debut venture heritage business
0.0000,dabble gain momentum
0.0000,unique not necessarily equate good matter admirably filmmaker go break
1.0000,rare documentary incorporate human experience drama conflict tear surprise transcend normal division fiction nonfiction film
1.0000,hashiguchi cover territory wit originality suggest fourth feature release yous major director emerge world cinema
0.0000,lrb reno rrb let radical flag fly take angry potshot george w bush henry kissinger larry king et al reno devolve laughfree lecture
0.0000,capitalize concept opt breezy amateurish feel school special subject tolerance
0.0000,despite visual virtuosity naqoyqatsi banal message choice material convey
1.0000,filmmake bit disjoint subject matter fascinating will not care
1.0000,paul bettany cool
0.0000,collateral damage trash earn extra point act not
1.0000,anchor splendid performance honor screen veteran sparkle newcomer instantly transform believable motherdaughter pair
0.0000,notsosmall problem expect entire exercise real point
1.0000,get wildly popular vin diesel equation add big box office buck guarantee
0.0000,problem funny
0.0000,hour photo disappointing generality little nuance escape director mark romanek selfconscious scrutiny happen finally skin
1.0000,modestly surprising movie
0.0000,impossible indulge fanciful daydream janice beard lrb eileen walsh rrb reallife persona charmless vacant
1.0000,movie trace mr brown athletic exploit impossible awed power grace great natural sportsman modern time
1.0000,remind hong kong action cinema alive kick
0.0000,tiny little joke nary original idea sappy ethnic sleeper prove blockbuster pollute summer movie pool
0.0000,confuse message ultimate desire contort idea expectation thing actress character deserve
1.0000,fine focus piece work reopen interesting controversy succumb sensationalism
1.0000,heartening tale small victory endure hope
0.0000,franchise spawn single good film
1.0000,taut sober film
0.0000,earsplitte exercise formula crashandbash action
0.0000,involve coast
